Entry	Gene Names (primary)	Entry Name
A0A0B5A8P4		INS3A_CONGE
A0A0B5AC95		INS1A_CONGE
A0A0G2KQY6	slc39a14	S39AE_DANRE
A0A0G2KTI4	slc12a2	S12A2_DANRE
A0A0G2L7I0	sprtn	SPRTN_DANRE
A0A0N9E2K8	mmp21	MMP21_DANRE
A0A0R4I9Y1	rnf213b	R213B_DANRE
A0A0R4IBK5	rnf213a	R213A_DANRE
A0A0R4IDP3	zdhhc15a	ZH15A_DANRE
A0A0R4IDX9	ninj1	NINJ1_DANRE
A0A0R4IEW8	elavl4	ELAV4_DANRE
A0A0R4IGV4	jam2a	JAM2A_DANRE
A0A0R4IKJ1	pcif1	CAPAM_DANRE
A0A0R4IKU3	reck	RECK_DANRE
A0A0R4IMY7	trpm2	TRPM2_DANRE
A0A0R4IVA4	cdc14ab	CC14A_DANRE
A0A0R4IVV0	mttp	MTP_DANRE
A0A0R4IXF6	kat2a	KAT2A_DANRE
A0A0R4IY06	plaat1	PLAT1_DANRE
A0A0R4IZ84	smg6	EST1A_DANRE
A0A193KX02	tomt	TOMT_DANRE
A0A1D5NS60	znf16l	ZN16L_DANRE
A0A1D5NSK0	cirop	CIROP_DANRE
A0A1Z2R986	eng	EGLN_DANRE
A0A286Y9D1	phf14	PHF14_DANRE
A0A2R8Q1W5	keap1b	KEP1B_DANRE
A0A2R8QCI3	ccdc88c	DAPLE_DANRE
A0A2R9YJI3	gpr22a	GPR22_DANRE
A0A386CAB9	nlrp1	NLRP1_DANRE
A0JMD4	tpcn2	TPC2_DANRE
A0JMQ9	zranb1b	ZRN1B_DANRE
A0JPF9	crppa	ISPD_DANRE
A0MGZ7	hs6st3b	H6S3B_DANRE
A0MSJ1	col27a1b	CRA1B_DANRE
A0MTA1	apex1	APEX1_DANRE
A0T2N3	aplnrb	APJB_DANRE
A1A5H8	yes1	YES_DANRE
A1L1N5	hnf1ba	HN1BA_DANRE
A1L1V4	loxl2b	LOL2B_DANRE
A1L259	urad	URAD_DANRE
A1L2G3	bap1	BAP1_DANRE
A1Y9I9	Tomt	TOMT_MOUSE
A1YB07	amotl2a	AMOL2_DANRE
A2BGM5	foxn4	FOXN4_DANRE
A2BIE7	tapt1	TAPT1_DANRE
A2BIL7	baz1b	BAZ1B_DANRE
A2CEH0	poc1b	POC1B_DANRE
A2CEI6	piwil2	PIWL2_DANRE
A2RU14	TMEM218	TM218_HUMAN
A2SWM2	spns2	SPNS2_DANRE
A2T928	rargb	RARGB_DANRE
A3KNA7	srebf2	SRBP2_DANRE
A3KNL5	atp5if1a	ATF1A_DANRE
A3KP59	riox1	RIOX1_DANRE
A3KPA0	jam3b	JAM3B_DANRE
A3KPA3	naa60	NAA60_DANRE
A3KPP3	rangrf	MOG1_DANRE
A3KPQ7	cemip2	CEIP2_DANRE
A3KPW9	Bag6	BAG6_DANRE
A3KQH2	iqcg	DRC9_DANRE
A3QJU3	coq8b	COQ8B_DANRE
A4IG62	supv3l1	SUV3_DANRE
A5D8S5	sh3rf1	SH3R1_DANRE
A5HAK0	rnasel3	RNSL3_DANRE
A5PN09	usp20	UBP20_DANRE
A5PN28	otol1a	OTO1A_DANRE
A5WVX9	zdhhc17	ZDH17_DANRE
A5WWA0	znrf3	ZNRF3_DANRE
A7MBL8	pkn2	PKN2_DANRE
A7MBS7	thsd7aa	THS7A_DANRE
A7YE96	ttc30a	TT30A_DANRE
A8C984	mylk3	MYLK3_DANRE
A8CVX7	ttll6	TTLL6_DANRE
A8DZE6	wtip	WTIP_DANRE
A8DZH4	xpr1	XPR1_DANRE
A8HAL1	usp16	UBP16_DANRE
A8WFU8	kif22	KIF22_DANRE
A8WGA0	cyp27c1	C27C1_DANRE
A8WGB1	ccbe1	CCBE1_DANRE
A8WGP3	ppp4ca	PP4CA_DANRE
A8WIP6	cdk20	CDK20_DANRE
A9C3R8	rpe65c	RP65C_DANRE
A9C3R9	rpe65b	RP65B_DANRE
A9ULR9	kctd13	BACD1_DANRE
B0BF33	pkp2	PKP2_DANRE
B0R0I6	chd8	CHD8_DANRE
B0S5N4	plxna3	PLXA3_DANRE
B0S6T2	slc15a2	S15A2_DANRE
B0V1P1	mc4r	MC4R_DANRE
B1NWR6		NA228_NEMVE
B1NWS4		NA225_NEMVE
B1Q006	mboat4	MBOA4_DANRE
B2ZFP3	smarcal1	SMAL1_DANRE
B3DH20	dnaaf11	DAA11_DANRE
B3DIV9	klhl40a	KL40A_DANRE
B3DJT0	sart3	SART3_DANRE
B3DK56	ptpru	PTPRU_DANRE
B3G515	gper1	GPER1_DANRE
B5DE31	ybx1	YBOX1_DANRE
B6ZK77	il1rapl1b	IRL1B_DANRE
B7SXM5	ier2	IER2_DANRE
B8A4F0	zdhhc16a	ZD16A_DANRE
B8A4W9	loxl3b	LOX3B_DANRE
B8JI71	eys	EYS_DANRE
B8JLQ9	cpo	CBPO_DANRE
B8PYG1	nsmf	NSMF_DANRE
B8XY56	rnaset2	RNT2_DANRE
C5J7W8	smg1	SMG1_DANRE
C6KFA3	adgrg6	AGRG6_DANRE
D2CLZ9	atoh8	ATOH8_DANRE
E3PQQ8	conoCAP	CCAP_CONVL
E7EZF3	uhrf1	UHRF1_DANRE
E7EZG2	myo9aa	MY9AA_DANRE
E7F1H9	ythdf2	YTHD2_DANRE
E7F3F0	myo9ab	MY9AB_DANRE
E7F3I6	clp1	CLP1_DANRE
E7F4N7	sting1	STING_DANRE
E7F568	cobl	COBL_DANRE
E7F587	zdhhc20b	ZD20B_DANRE
E7F590	vps41	VPS41_DANRE
E7F594	gpr137ba	G137B_DANRE
E7F6F7	abcb7	ABCB7_DANRE
E7F7X0	lmod3	LMOD3_DANRE
E7F9L8	myo1d	MYO1D_DANRE
E7FAG6	ambra1a	AMR1A_DANRE
E7FAM5	trim71	LIN41_DANRE
E7FB98	ubiad1	UBIA1_DANRE
E7FBY6	adgra2	AGRA2_DANRE
E7FCP8	nags	NAGS_DANRE
E7FDB3	nanos1	NANO1_DANRE
E7FE13	lgr4	LGR4_DANRE
E9QBI7	oma1	OMA1_DANRE
E9QDC5	hwa	HWA_DANRE
E9QG68	usp45	UBP45_DANRE
E9QJ30	klhl40b	KL40B_DANRE
E9QJ73	cxcr3.2	CXR32_DANRE
F1PRN2	MYO1D	MYO1D_CANLF
F1Q4R9	meox1	MEOX1_DANRE
F1Q506	snx10a	SNXAA_DANRE
F1Q7H8	zdhhc20a	ZD20A_DANRE
F1Q8K0	rad54l	RAD54_DANRE
F1Q8X5	fermt2	FERM2_DANRE
F1QBY1	nipblb	NIPLB_DANRE
F1QC45	rp2	XRP2_DANRE
F1QCP6	tafazzin	TAZ_DANRE
F1QCV2	hdac10	HDA10_DANRE
F1QDF8	foxj1a	FXJ1A_DANRE
F1QEB7	wdr11	WDR11_DANRE
F1QFS9	usp13	UBP13_DANRE
F1QG30	smpd5	NSMA5_DANRE
F1QGH7	ctnnb1	CTNB1_DANRE
F1QGZ6	melk	MELK_DANRE
F1QLP1	hsd11b2	DHI2_DANRE
F1QLY4	roraa	RORAA_DANRE
F1QN48	fam53b	FA53B_DANRE
F1QN54	kif3b	KIF3B_DANRE
F1QNW4	gas8	DRC4_DANRE
F1QQA8	znf219	ZN219_DANRE
F1QQC3	loxl2a	LOL2A_DANRE
F1QQI2	spx	SPXN1_DANRE
F1QR43	glceb	GLCEB_DANRE
F1QSQ0	dsc2l	DSC2L_DANRE
F1QU13	alpk2	ALPK2_DANRE
F1QVU0	ltk	LTK_DANRE
F1QWA8	sarm1	SARM1_DANRE
F1QXD3	zdhhc15b	ZH15B_DANRE
F1QZ88	e2f8	E2F8_DANRE
F1R0H0	slc2a10	GTR10_DANRE
F1R237	tdrd6	TDRD6_DANRE
F1R2J1	pnx	PNX_DANRE
F1R345	ddx11	DDX11_DANRE
F1R4C4	pias4a	PIS4A_DANRE
F1R4U0	slc25a1b	TXTPB_DANRE
F1R5H6	brd4	BRD4_DANRE
F1R777	mettl3	MTA70_DANRE
F1RA39	mical2b	MCA2B_DANRE
F1RAX4	stra6	STRA6_DANRE
F1RBC8	abcd1	ABCD1_DANRE
F1RCP1	becn1	BECN1_DANRE
F1RCY6	upf1	RENT1_DANRE
F1RD40	mycbp2	MYCB2_DANRE
F1RD85	loxl3a	LOX3A_DANRE
F1RDG9	fynb	FYNB_DANRE
F1RE08	ptgis	PTGIS_DANRE
F1RE57	zdhhc3a	DHC3A_DANRE
F1RET2	smyd5	SMYD5_DANRE
F1REV3	krit1	KRIT1_DANRE
F5HSE3	nipbla	NIPLA_DANRE
F8W2M1	hace1	HACE1_DANRE
F8W2M8	tpp1	TPP1_DANRE
F8W3R9	alk	ALK_DANRE
F8W4H9	mrap2a	MRP2A_DANRE
G5EGJ5	ida-1	IDA1_CAEEL
G8XYX6	slc16a2	MOT8_DANRE
H0WFA5	buc	BUCKY_DANRE
H2EQR6	dsg2.1	DSG21_DANRE
H2LRU7	pkd2	PKD2_ORYLA
L7YAI7	b4gat1	B4GA1_DANRE
O00541	PES1	PESC_HUMAN
O00548	DLL1	DLL1_HUMAN
O00584	RNASET2	RNT2_HUMAN
O12990	jak1	JAK1_DANRE
O13033	rag1	RAG1_DANRE
O13034	rag2	RAG2_DANRE
O13146	epha3	EPHA3_DANRE
O13147	ephb3	EPHB3_DANRE
O13148	epha4a	EPA4A_DANRE
O15066	KIF3B	KIF3B_HUMAN
O15259	NPHP1	NPHP1_HUMAN
O35245	Pkd2	PKD2_MOUSE
O42145	cyp19a1a	C19AA_DANRE
O42182	fbln1	FBLN1_DANRE
O42202	neurod1	NDF1_DANRE
O42222	mstnb	GDF8_DANRE
O42248	gnb2l1	GBLP_DANRE
O42250	vsx1	VSX1_DANRE
O42354	mdm2	MDM2_DANRE
O42358	rx3	RX3_DANRE
O42363	apoa1	APOA1_DANRE
O42364	apoeb	APOEB_DANRE
O42477	vsx2	VSX2_DANRE
O42601	sox17b.1	S17B1_XENLA
